2025-06-20 12:50:09 | INFO | main:lifespan:63 | Sherlock backend shutting down...
2025-06-20 12:50:09 | INFO | main:lifespan:63 | Sherlock backend shutting down...
2025-06-20 12:50:09 | INFO | main:lifespan:69 | Sherlock backend shutdown complete!
2025-06-20 12:50:09 | INFO | main:lifespan:69 | Sherlock backend shutdown complete!
2025-06-20 12:50:11 | INFO | main:lifespan:44 | Sherlock backend starting up...
2025-06-20 12:50:11 | INFO | main:lifespan:44 | Sherlock backend starting up...
2025-06-20 12:50:11 | INFO | main:lifespan:45 | Environment: development
2025-06-20 12:50:11 | INFO | main:lifespan:45 | Environment: development
2025-06-20 12:50:11 | INFO | main:lifespan:46 | Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 12:50:11 | INFO | main:lifespan:46 | Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 12:50:11 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 12:50:11 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 12:50:11 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 12:50:11 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 12:50:11 | INFO | models.xception_detector:load_model:32 | 🔄 Loading XceptionNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/xception_deepfake_detector.pth
2025-06-20 12:50:11 | INFO | models.xception_detector:load_model:32 | 🔄 Loading XceptionNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/xception_deepfake_detector.pth
2025-06-20 12:50:11 | INFO | models.xception_detector:load_model:68 | ✅ XceptionNet model loaded successfully
2025-06-20 12:50:11 | INFO | models.xception_detector:load_model:68 | ✅ XceptionNet model loaded successfully
2025-06-20 12:50:11 | SUCCESS | core.model_manager:initialize:68 | ✅ Model xception loaded successfully
2025-06-20 12:50:11 | SUCCESS | core.model_manager:initialize:68 | ✅ Model xception loaded successfully
2025-06-20 12:50:11 | SUCCESS | core.model_manager:initialize:78 | ✅ Model manager initialized with 1 models
2025-06-20 12:50:11 | SUCCESS | core.model_manager:initialize:78 | ✅ Model manager initialized with 1 models
2025-06-20 12:50:11 | INFO | main:lifespan:58 | Sherlock backend startup complete!
2025-06-20 12:50:11 | INFO | main:lifespan:58 | Sherlock backend startup complete!
2025-06-20 12:50:37 | INFO | main:lifespan:63 | Sherlock backend shutting down...
2025-06-20 12:50:37 | INFO | main:lifespan:63 | Sherlock backend shutting down...
2025-06-20 12:50:37 | INFO | main:lifespan:69 | Sherlock backend shutdown complete!
2025-06-20 12:50:37 | INFO | main:lifespan:69 | Sherlock backend shutdown complete!
2025-06-20 12:50:39 | INFO | main:lifespan:44 | Sherlock backend starting up...
2025-06-20 12:50:39 | INFO | main:lifespan:44 | Sherlock backend starting up...
2025-06-20 12:50:39 | INFO | main:lifespan:45 | Environment: development
2025-06-20 12:50:39 | INFO | main:lifespan:45 | Environment: development
2025-06-20 12:50:39 | INFO | main:lifespan:46 | Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 12:50:39 | INFO | main:lifespan:46 | Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 12:50:39 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 12:50:39 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
2025-06-20 12:50:39 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 12:50:39 | INFO | core.model_manager:initialize:49 | 📚 Loading model: xception
2025-06-20 12:50:39 | INFO | models.xception_detector:load_model:32 | 🔄 Loading XceptionNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/xception_deepfake_detector.pth
2025-06-20 12:50:39 | INFO | models.xception_detector:load_model:32 | 🔄 Loading XceptionNet model from: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models/xception_deepfake_detector.pth
2025-06-20 12:50:39 | INFO | models.xception_detector:load_model:68 | ✅ XceptionNet model loaded successfully
2025-06-20 12:50:39 | INFO | models.xception_detector:load_model:68 | ✅ XceptionNet model loaded successfully
2025-06-20 12:50:39 | SUCCESS | core.model_manager:initialize:68 | ✅ Model xception loaded successfully
2025-06-20 12:50:39 | SUCCESS | core.model_manager:initialize:68 | ✅ Model xception loaded successfully
2025-06-20 12:50:39 | SUCCESS | core.model_manager:initialize:78 | ✅ Model manager initialized with 1 models
2025-06-20 12:50:39 | SUCCESS | core.model_manager:initialize:78 | ✅ Model manager initialized with 1 models
2025-06-20 12:50:39 | INFO | main:lifespan:58 | Sherlock backend startup complete!
2025-06-20 12:50:39 | INFO | main:lifespan:58 | Sherlock backend startup complete!
2025-06-20 12:51:33 | INFO | main:lifespan:63 | Sherlock backend shutting down...
2025-06-20 12:51:33 | INFO | main:lifespan:63 | Sherlock backend shutting down...
2025-06-20 12:51:33 | INFO | main:lifespan:69 | Sherlock backend shutdown complete!
2025-06-20 12:51:33 | INFO | main:lifespan:69 | Sherlock backend shutdown complete!
2025-06-20 12:51:36 | INFO | main:lifespan:44 | Sherlock backend starting up...
2025-06-20 12:51:36 | INFO | main:lifespan:44 | Sherlock backend starting up...
2025-06-20 12:51:36 | INFO | main:lifespan:45 | Environment: development
2025-06-20 12:51:36 | INFO | main:lifespan:45 | Environment: development
2025-06-20 12:51:36 | INFO | main:lifespan:46 | Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 12:51:36 | INFO | main:lifespan:46 | Models directory: /Users/bimidugunathilake/Documents/SE/Projects/sherlock/backend/models
2025-06-20 12:51:36 | INFO | core.model_manager:initialize:45 | 🚀 Initializing model manager...
